valor;tipo;ocorrencias;onde;tr;entidade;acao
"adr0108102017";B-ano-grudado;19;MAE;2017TR000299;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE DE SAO MIGUEL DO OESTE";conferir no SGPe
"ADR0108102017";B-ano-grudado;19;PC;2017TR000299;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE DE SAO MIGUEL DO OESTE";conferir no SGPe
"adr0108242017";B-ano-grudado;17;MAE;2017TR000305;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DESCANSO";conferir no SGPe
"ADR0108242017";B-ano-grudado;17;PC;2017TR000305;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DESCANSO";conferir no SGPe
"ADR0108252017";B-ano-grudado;38;PC+MAE;2017TR000306;"ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARACIABA";conferir no SGPe
"ADR0416302017";B-ano-grudado;36;PC+MAE;2017TR000523;"ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CEL FREITAS";conferir no SGPe
"ADR0416312017";B-ano-grudado;38;PC+MAE;2017TR000524;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CHAPECO";conferir no SGPe
"ADR05000010192017";B-ano-grudado;38;PC+MAE;2017TR000234;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE - DE ENTRE RIOS";conferir no SGPe
"ADR0800005092017";B-ano-grudado;38;PC+MAE;2017TR000402;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE - DE ABDON BATISTA";conferir no SGPe
"Adr 1181/2017";C-sem-regiao;19;MAE;2017TR000184;"ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GRAVATAL";conferir no SGPe
"ADR 1181/2017";C-sem-regiao;19;PC;2017TR000184;"ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GRAVATAL";conferir no SGPe
"adr19 0011181.2017";B-ano-grudado;19;MAE;2017TR000188;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS";conferir no SGPe
"ADR19 0011181.2017";B-ano-grudado;19;PC;2017TR000188;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS";conferir no SGPe
"ADR 19 1010/2017";B-outro;40;PC+MAE;2017TR000192;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS -APAE";conferir no SGPe
"ADR2226792017";B-ano-grudado;40;PC+MAE;2017TR000365;"ASS DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JOINVILLE";conferir no SGPe
"ADR26000015452017";B-ano-grudado;40;PC+MAE;2017TR000357;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPO BELO DO SUL";conferir no SGPe
"ADR26000015882017";B-ano-grudado;40;PC+MAE;2017TR000354;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE OT COS";conferir no SGPe
"ADR2600001621";B-ano-grudado;40;PC+MAE;2017TR000353;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LAGES";conferir no SGPe
"ADR26000016742017";B-ano-grudado;40;PC+MAE;2017TR000355;"ASSOC.DE PAIS E AMIGOS DOS EXCEPCIONAIS- APAE DE SAO JOSE DO CERRITO-SC";conferir no SGPe
"ADR26000017012017";B-ano-grudado;42;PC+MAE;2017TR000358;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CORREIA PINTO/SC";conferir no SGPe
"ADR26000019602017";B-ano-grudado;34;PC+MAE;2017TR000356;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BOCAINA DO SUL";conferir no SGPe
"ADR29/00000483/2017";B-barra-extra;38;PC+MAE;2017TR000374;"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS PALMA SOLA";conferir no SGPe
